,,accuracy,topk,clean_CUDA_time,clean_CUDA_mem,clean_CPU_time,clean_CPU_mem,clean_GFLOPs,adv_CUDA_time,adv_CUDA_mem,adv_CPU_time,adv_CPU_mem,adv_GFLOPs,diff_outliers,diff_outliers_%,diff_GFLOPs,diff_GFLOPs_%,diff_CUDA_mem,diff_CUDA_mem_%,diff_CUDA_time,diff_CUDA_time_%
/sise/home/barasa/8_bit/experiments/April/inf_10_0.1_True/results.csv,mean,0.0,0.0,41.57,1008.683,1516.813,0.0,0.851,43.569,1123.217,1588.817,0.0,0.851,1329.079,6.009,0.0,0.0,114.534,0.114,1.999,0.048
/sise/home/barasa/8_bit/experiments/April/inf_10_0.1_True/results.csv,std,0.0,0.0,14.738,20.314,8.599,0.0,0.0,15.477,22.186,14.618,0.0,0.0,173.033,1.53,0.0,0.0,23.783,0.025,0.838,0.009
/sise/home/barasa/8_bit/experiments/April/inf_10_0.5_True/results.csv,mean,0.0,0.0,60.868,979.253,1546.136,0.0,0.851,60.476,1019.115,1609.425,0.0,0.851,82.436,0.393,0.0,0.0,39.862,0.041,-0.392,-0.006
/sise/home/barasa/8_bit/experiments/April/inf_10_0.5_True/results.csv,std,0.0,0.0,0.389,4.051,13.585,0.0,0.0,0.188,1.804,18.378,0.0,0.0,62.558,0.318,0.0,0.0,3.69,0.004,0.45,0.007
/sise/home/barasa/8_bit/experiments/April/inf_10_1_True/results.csv,mean,0.0,0.0,60.792,995.061,1586.98,0.0,0.851,60.016,998.744,1652.035,0.0,0.851,-99.842,-0.399,0.0,0.0,3.683,0.004,-0.776,-0.013
/sise/home/barasa/8_bit/experiments/April/inf_10_1_True/results.csv,std,0.0,0.0,0.37,2.369,14.13,0.0,0.0,0.289,1.288,19.739,0.0,0.0,46.897,0.136,0.0,0.0,2.27,0.002,0.447,0.007
/sise/home/barasa/8_bit/experiments/April/2_150_1_True/results.csv,mean,0.396,0.495,55.369,980.726,99.495,0.0,0.851,56.817,1053.342,136.319,0.0,0.851,1141.208,5.337,0.0,0.0,72.615,0.074,1.448,0.026
/sise/home/barasa/8_bit/experiments/April/2_150_1_True/results.csv,std,0.492,0.502,3.958,7.618,9.91,0.0,0.0,4.358,46.817,25.173,0.0,0.0,1153.51,5.644,0.0,0.0,49.029,0.05,1.747,0.032
/sise/home/barasa/8_bit/experiments/April/2_150_3_True/results.csv,mean,0.267,0.337,60.644,984.084,165.089,0.0,0.851,62.445,1069.161,203.581,0.0,0.851,1261.95,5.835,0.0,0.0,85.077,0.086,1.801,0.03
/sise/home/barasa/8_bit/experiments/April/2_150_3_True/results.csv,std,0.445,0.475,0.496,10.212,30.147,0.0,0.0,1.719,41.192,26.029,0.0,0.0,1162.556,5.682,0.0,0.0,37.508,0.038,1.83,0.03
/sise/home/barasa/8_bit/experiments/April/2_150_5_True/results.csv,mean,0.218,0.287,60.686,997.734,259.181,0.0,0.851,62.565,1040.148,284.882,0.0,0.851,1310.188,6.059,0.0,0.0,42.414,0.043,1.879,0.031
/sise/home/barasa/8_bit/experiments/April/2_150_5_True/results.csv,std,0.415,0.455,0.407,8.094,22.72,0.0,0.0,1.69,36.531,19.603,0.0,0.0,1128.322,5.556,0.0,0.0,37.964,0.038,1.773,0.029
/sise/home/barasa/8_bit/experiments/April/2_150_10_True/results.csv,mean,0.188,0.287,51.16,983.742,342.514,0.0,0.851,52.761,1045.555,368.202,0.0,0.851,1143.178,5.255,0.0,0.0,61.813,0.063,1.601,0.031
/sise/home/barasa/8_bit/experiments/April/2_150_10_True/results.csv,std,0.393,0.455,14.209,10.357,33.512,0.0,0.0,14.783,33.911,37.448,0.0,0.0,994.495,4.905,0.0,0.0,30.415,0.031,1.569,0.028
/sise/home/barasa/8_bit/experiments/April/2_150_15_True/results.csv,mean,0.119,0.188,30.403,983.307,427.86,0.0,0.851,31.221,1099.998,457.462,0.0,0.851,979.248,4.519,0.0,0.0,116.691,0.119,0.818,0.027
/sise/home/barasa/8_bit/experiments/April/2_150_15_True/results.csv,std,0.325,0.393,0.197,8.503,15.128,0.0,0.0,0.731,29.264,18.793,0.0,0.0,840.738,4.207,0.0,0.0,26.141,0.026,0.788,0.026
